mod,nAg,rRep,rOr,rAt,CCO,isolated,avgA2A
T2,12,0.01,0.12,0.15,11,0,0.054013057125893
T2,12,0.01,0.12,0.15,12,0,0.032387206939777
T2,12,0.01,0.12,0.15,12,0,0.035638088085966
T2,12,0.01,0.12,0.15,12,0,0.044391818635195
T2,12,0.01,0.12,0.15,8,0,0.040886542105006
T2,12,0.01,0.12,0.15,7,0,0.306128901207266
T2,12,0.01,0.12,0.15,12,0,0.07157651342971
T2,12,0.01,0.12,0.15,12,0,0.054788642528356
T2,12,0.01,0.12,0.15,8,0,0.059704982963233
T2,12,0.01,0.12,0.15,10,0,0.059813634661077
T2,12,0.01,0.12,0.15,12,0,0.049251780086669
T2,12,0.01,0.12,0.15,10,0,0.040546863210121
T2,12,0.01,0.12,0.15,10,0,0.024750806703213
T2,12,0.01,0.12,0.15,12,0,0.044745244847728
T2,12,0.01,0.12,0.15,10,0,0.065371076149667
T2,12,0.01,0.12,0.15,6,0,0.307487604644831
T2,12,0.01,0.12,0.15,10,0,0.042040207732657
T2,12,0.01,0.12,0.15,12,0,0.056111790273878
T2,12,0.01,0.12,0.15,12,0,0.017548357702602
T2,12,0.01,0.12,0.15,7,0,0.312279708891445
T2,12,0.01,0.12,0.15,12,0,0.053750198663417
T2,12,0.01,0.12,0.15,8,0,0.21666568781948
T2,12,0.01,0.12,0.15,12,0,0.036147766738627
T2,12,0.01,0.12,0.15,6,0,0.326521496187975
T2,12,0.01,0.12,0.15,6,0,0.147345782350704
T2,12,0.01,0.12,0.15,10,0,0.12857304115983
T2,12,0.01,0.12,0.15,10,0,0.117648127123086
T2,12,0.01,0.12,0.15,6,0,0.248076859655543
T2,12,0.01,0.12,0.15,12,0,0.047547028383894
T2,12,0.01,0.12,0.15,6,0,0.249300600628661
T2,15,0.01,0.12,0.15,15,0,0.011686609560222
T2,15,0.01,0.12,0.15,14,0,0.09179145966131
T2,15,0.01,0.12,0.15,10,0,0.04420736564156
T2,15,0.01,0.12,0.15,13,0,0.041163148798713
T2,15,0.01,0.12,0.15,8,0,0.045087491544907
T2,15,0.01,0.12,0.15,14,0,0.050993592073615
T2,15,0.01,0.12,0.15,14,0,0.205266158966471
T2,15,0.01,0.12,0.15,15,0,0.048785570692342
T2,15,0.01,0.12,0.15,14,0,0.03800335477668
T2,15,0.01,0.12,0.15,15,0,0.055991121239806
T2,15,0.01,0.12,0.15,13,0,0.026012444350039
T2,15,0.01,0.12,0.15,8,0,0.03784171763106
T2,15,0.01,0.12,0.15,12,0,0.043088930357546
T2,15,0.01,0.12,0.15,14,0,0.044983890317522
T2,15,0.01,0.12,0.15,14,0,0.04674023124595
T2,15,0.01,0.12,0.15,12,0,0.051243834312686
T2,15,0.01,0.12,0.15,14,0,0.036026757592967
T2,15,0.01,0.12,0.15,12,0,0.082300046552777
T2,15,0.01,0.12,0.15,11,0,0.191110711894806
T2,15,0.01,0.12,0.15,15,0,0.041442424432904
T2,15,0.01,0.12,0.15,14,0,0.075545485451731
T2,15,0.01,0.12,0.15,13,0,0.037007611290969
T2,15,0.01,0.12,0.15,14,0,0.055325127946554
T2,15,0.01,0.12,0.15,15,0,0.031839231108619
T2,15,0.01,0.12,0.15,11,0,0.042392005619852
T2,15,0.01,0.12,0.15,15,0,0.029336378180587
T2,15,0.01,0.12,0.15,13,0,0.025960168910658
T2,15,0.01,0.12,0.15,12,0,0.044582986967255
T2,15,0.01,0.12,0.15,15,0,0.037389319468433
T2,15,0.01,0.12,0.15,11,0,0.060819194276343
T2,15,0.01,0.12,0.15,15,0,0.037385717025426
T2,15,0.01,0.12,0.15,14,0,0.064780765460423
T2,15,0.01,0.12,0.15,14,0,0.043517858348271
T2,15,0.01,0.12,0.15,14,0,0.048276513635452
T2,15,0.01,0.12,0.15,15,0,0.049565024648453
T2,15,0.01,0.12,0.15,14,0,0.050478566255602
T2,15,0.01,0.12,0.15,15,0,0.028748850932784
T2,15,0.01,0.12,0.15,15,0,0.046921875766456
T2,15,0.01,0.12,0.15,14,0,0.116892819053677
T2,15,0.01,0.12,0.15,13,0,0.05213640439902
T2,15,0.01,0.12,0.15,14,0,0.033688908821281
T2,15,0.01,0.12,0.15,10,0,0.195223951396495
T2,15,0.01,0.12,0.15,14,0,0.036126476603662
T2,15,0.01,0.12,0.15,11,0,0.050288456367475
T2,15,0.01,0.12,0.15,15,0,0.046953299124091
T2,15,0.01,0.12,0.15,12,0,0.046412977398982
T2,15,0.01,0.12,0.15,14,0,0.044828811999696
T2,15,0.01,0.12,0.15,14,0,0.106798029816764
T2,15,0.01,0.12,0.15,10,0,0.254540261059079
T2,15,0.01,0.12,0.15,14,0,0.030584821035062
T2,15,0.01,0.12,0.15,8,0,0.129877305199202
T2,15,0.01,0.12,0.15,11,0,0.03522895505698
T2,15,0.01,0.12,0.15,15,0,0.063589708016586
T2,15,0.01,0.12,0.15,12,0,0.064413872037244
T2,15,0.01,0.12,0.15,15,0,0.07035431631296
T2,15,0.01,0.12,0.15,13,0,0.065449261150499
T2,15,0.01,0.12,0.15,11,0,0.087992826828042
T2,15,0.01,0.12,0.15,14,0,0.128440593488385
T2,15,0.01,0.12,0.15,14,0,0.083250247645734
T2,15,0.01,0.12,0.15,10,0,0.055157411789271
T2,15,0.01,0.12,0.15,8,0,0.103958638778064
T2,15,0.01,0.12,0.15,14,0,0.031921091844147
T2,15,0.01,0.12,0.15,14,0,0.036382914860193
T2,15,0.01,0.12,0.15,11,0,0.016079151751664
T2,15,0.01,0.12,0.15,13,0,0.046736948184809
T2,15,0.01,0.12,0.15,12,0,0.025875905388509
T2,15,0.01,0.12,0.15,15,0,0.032901311939096
T2,15,0.01,0.12,0.15,15,0,0.029187213433295
T2,15,0.01,0.12,0.15,10,0,0.048964725632427
